구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,0.9403794037940381,0.9411764705882353,0.9166666666666666,0.8682242990654205,0.7236739974126778,77.728285077951,85.71428571428571,76.92307692307693,42.857142857142854,86.48459383753502,570500.0,2780,0.17560483350108153,85.46306611114227
강동구,0.14634146341463417,0.05882352941176466,0.16666666666666666,0.4059190031152648,0.3169469598965072,78.84615384615384,100.0,75.0,33.34742180896027,82.89085545722715,453233.0,773,0.0437879049001935,85.55022576390748
강북구,0.1382113821138211,0.5294117647058822,0.41666666666666663,0.11557632398753898,0.30064683053040103,82.35294117647058,92.85714285714286,100.0,43.09623430962343,88.63722159305398,330192.0,748,0.0600205187201724,94.07072761768072
강서구,0.4336043360433604,0.4705882352941176,0.41666666666666663,0.3218068535825545,0.445019404915912,72.90076335877863,100.0,100.0,60.1145038167939,84.75210477081384,603772.0,884,0.08350741986010443,96.5728087490353
관악구,1.0,0.7647058823529411,0.8333333333333334,1.0,1.0,72.82377919320594,100.0,100.0,40.13573601684999,82.54857997010463,525515.0,1496,0.18392156862745096,91.42726359068234
광진구,0.37398373983739835,0.5294117647058822,0.16666666666666666,0.6115264797507789,0.29443725743855115,91.66666666666666,100.0,100.0,42.2009253139458,83.04761904761905,372164.0,707,0.07904103633597111,96.37581975731734
구로구,0.4850948509485095,0.588235294117647,0.5,0.3962616822429907,0.3932729624838293,58.362989323843415,73.33333333333333,75.0,38.07280513918629,80.87795144662454,447874.0,1561,0.09451459159171906,75.27790635466599
노원구,0.25745257452574527,0.11764705882352938,0.6666666666666666,0.35202492211838005,0.3197930142302717,61.42131979695431,100.0,100.0,36.52530779753762,85.53066470804261,569384.0,1265,0.06854336945458372,88.64617415331136
도봉구,0.0,0.23529411764705882,0.08333333333333334,0.0,0.0,100.0,100.0,100.0,44.96707431796801,87.62609280430397,348646.0,485,0.012745098039215686,100.0
동대문구,0.19241192411924118,0.4705882352941176,0.24999999999999997,0.285981308411215,0.2745148771021993,84.39306358381504,100.0,100.0,41.090358404846036,87.40188383045526,369496.0,1294,0.05893985379707092,95.44425044106504
동작구,0.4959349593495935,0.23529411764705882,0.24999999999999997,0.24984423676012463,0.10944372574385514,48.771929824561404,55.55555555555556,100.0,35.442359249329755,83.0890052356021,412520.0,1091,0.05362068158002529,74.63336788530299
마포구,0.5203252032520325,0.5294117647058822,0.5,0.46479750778816203,0.3870633893919793,84.01360544217688,71.42857142857143,100.0,31.81996086105675,84.44518940663761,389649.0,574,0.09606391460552224,85.92538102511915
서대문구,0.14092140921409213,0.0,0.0,0.23333333333333334,0.14721862871927555,80.51948051948052,80.0,100.0,40.728476821192054,83.21984435797665,327163.0,962,0.02085893485066804,88.87514434317907
서초구,0.7886178861788617,0.23529411764705882,0.5,0.48971962616822434,0.23596377749029757,63.358778625954194,66.66666666666666,75.0,41.40417457305503,87.45310546060858,450310.0,1930,0.0899838162993777,77.1816918763104
성동구,0.06504065040650409,0.23529411764705882,0.16666666666666666,0.16947040498442373,0.03234152652005173,94.44444444444444,88.88888888888889,100.0,37.14996888612321,86.53846153846155,311244.0,1062,0.0267525346489882,94.08881015517144
성북구,0.13008130081300812,0.0,0.24999999999999997,0.22492211838006232,0.18680465717981892,82.66666666666667,80.0,100.0,41.51260504201681,83.97464916251698,461260.0,1464,0.031672323054915574,89.72724267775804
송파구,0.31978319783197834,0.4705882352941176,0.75,0.6778816199376947,0.4677878395860285,80.9090909090909,76.92307692307693,90.9090909090909,34.85643717196666,84.55235204855842,667483.0,618,0.10744163570599277,85.10306586921345
양천구,0.04878048780487804,0.05882352941176466,0.08333333333333334,0.25763239875389415,0.26442432082794315,87.5,50.0,100.0,35.55555555555556,80.90872857712236,479978.0,2034,0.028519762805272537,81.82382687349065
영등포구,0.5230352303523036,1.0,0.9999999999999999,0.5922118380062307,0.5394566623544632,62.03389830508475,90.9090909090909,85.71428571428571,32.99595141700405,82.89473684210526,402985.0,904,0.1461881492285199,81.95875250321699
용산구,0.24932249322493222,0.5294117647058822,0.24999999999999997,0.15389408099688479,0.14566623544631313,89.17525773195877,100.0,100.0,37.70070648683366,83.1219512195122,244203.0,1624,0.0531317829749605,94.77678951004307
은평구,0.17344173441734417,0.23529411764705882,0.08333333333333334,0.2651090342679128,0.3016817593790427,84.93975903614458,66.66666666666666,100.0,37.14733542319749,86.92046739540143,494388.0,1873,0.04235439916178767,86.84238612008086
종로구,0.2953929539295393,0.35294117647058826,0.33333333333333337,0.3492211838006231,0.20853816300129363,76.30331753554502,81.81818181818183,83.33333333333334,38.324175824175825,84.21282163105103,162820.0,1002,0.0615770724214151,84.14183528687248
중구,0.1842818428184282,0.23529411764705882,0.08333333333333334,0.4626168224299066,0.19068564036222507,65.29411764705883,66.66666666666666,66.66666666666666,33.712715855573,88.3093525179856,133240.0,671,0.04624847026363808,74.12265003790951
중랑구,0.2303523035230352,0.35294117647058826,0.9166666666666666,0.3339563862928349,0.35187580853816297,79.14438502673798,81.81818181818183,92.3076923076923,38.82903981264637,84.54513523006673,414503.0,660,0.0874316936596515,87.06666281875579
